Cells,Receptor,Count
ncMO,FcgRI,2973.900987
ncMO,FcgRI,2585.885328
ncMO,FcgRI,2804.543069
ncMO,FcgRI,2667.301927
ncMO,FcgRI,4058.969041
ncMO,FcgRI,2335.219246
ncMO,FcgRI,1899.457137
ncMO,FcgRI,1444.034762
ncMO,FcgRI,5886.153258
ncMO,FcgRI,5303.334363
ncMO,FcgRI,4793.518924
ncMO,FcgRI,5091.119222
ncMO,FcgRI,4726.557724
ncMO,FcgRI,6151.675852
ncMO,FcgRI,4868.740524
ncMO,FcgRI,6053.813562
ncMO,FcgRI,5665.131111
ncMO,FcgRI,5340.345743
ncMO,FcgRIIB,9804.465527
ncMO,FcgRIIB,11811.4216
ncMO,FcgRIIB,9391.951991
ncMO,FcgRIIB,28059.74655
ncMO,FcgRIIB,26045.42445
ncMO,FcgRIIB,30168.47887
ncMO,FcgRIIB,24828.48317
ncMO,FcgRIIB,7486.892796
ncMO,FcgRIIB,8331.679309
ncMO,FcgRIIB,7112.770109
ncMO,FcgRIII,2078.056442
ncMO,FcgRIII,2573.637819
ncMO,FcgRIII,2637.591601
ncMO,FcgRIII,2099.484037
ncMO,FcgRIII,1578.946839
ncMO,FcgRIII,1119.202515
ncMO,FcgRIII,779.2070423
ncMO,FcgRIII,1788.319719
ncMO,FcgRIII,5273.00325
ncMO,FcgRIII,6431.346102
ncMO,FcgRIII,6619.64139
ncMO,FcgRIII,7805.519278
ncMO,FcgRIII,9663.800676
ncMO,FcgRIII,7434.791676
ncMO,FcgRIII,12031
ncMO,FcgRIII,11095
ncMO,FcgRIII,12131
ncMO,FcgRIII,12301.98132
ncMO,FcgRIII,11938.46743
ncMO,FcgRIII,11797.72736
ncMO,FcgRIII,11978.02804
ncMO,FcgRIII,6408.6473
ncMO,FcgRIII,6591.082676
ncMO,FcgRIII,7066.067465
ncMO,FcgRIII,6369.904
ncMO,FcgRIII,4988.563
ncMO,FcgRIII,3485.132
ncMO,FcgRIII,5811.877
ncMO,FcgRIII,12739.91929
ncMO,FcgRIII,11606.20201
ncMO,FcgRIII,11560.85344
