IgG,FcgRI,FcgRIIA-131H,FcgRIIA-131R,FcgRIIB-232I,FcgRIIIA-158F,FcgRIIIA-158V
IgG1,"7.140e+07
5.809e+07~8.635e+07","5.314e+06
4.780e+06~5.929e+06","3.503e+06
3.277e+06~3.758e+06","2.549e+05
2.166e+05~3.053e+05","1.195e+06
1.106e+06~1.288e+06","2.006e+06
1.913e+06~2.107e+06"
IgG2,"1.496e+06
1.189e+06~1.911e+06","4.306e+05
3.930e+05~4.724e+05","2.005e+05
1.719e+05~2.339e+05","6.911e+04
5.931e+04~8.134e+04","3.639e+04
2.938e+04~4.405e+04","1.678e+05
1.433e+05~1.966e+05"
IgG3,"6.998e+07
5.525e+07~8.730e+07","9.128e+05
8.622e+05~9.621e+05","9.178e+05
8.521e+05~9.861e+05","3.157e+05
2.714e+05~3.702e+05","7.741e+06
7.243e+06~8.329e+06","9.941e+06
9.193e+06~1.073e+07"
IgG4,"3.835e+07
3.012e+07~4.770e+07","1.808e+05
1.625e+05~2.057e+05","3.291e+05
2.833e+05~3.864e+05","1.305e+05
1.131e+05~1.504e+05","1.536e+05
1.337e+05~1.764e+05","2.906e+05
2.509e+05~3.348e+05"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,IgG,IgG1,IgG2,IgG3,IgG4,
,FcgRI,"7.140e+07
5.809e+07~8.635e+07","1.496e+06
1.189e+06~1.911e+06","6.998e+07
5.525e+07~8.730e+07","3.835e+07
3.012e+07~4.770e+07",
,FcgRIIA-131H,"5.314e+06
4.780e+06~5.929e+06","4.306e+05
3.930e+05~4.724e+05","9.128e+05
8.622e+05~9.621e+05","1.808e+05
1.625e+05~2.057e+05",
,FcgRIIA-131R,"3.503e+06
3.277e+06~3.758e+06","2.005e+05
1.719e+05~2.339e+05","9.178e+05
8.521e+05~9.861e+05","3.291e+05
2.833e+05~3.864e+05",
,FcgRIIB-232I,"2.549e+05
2.166e+05~3.053e+05","6.911e+04
5.931e+04~8.134e+04","3.157e+05
2.714e+05~3.702e+05","1.305e+05
1.131e+05~1.504e+05",
,FcgRIIIA-158F,"1.195e+06
1.106e+06~1.288e+06","3.639e+04
2.938e+04~4.405e+04","7.741e+06
7.243e+06~8.329e+06","1.536e+05
1.337e+05~1.764e+05",
,FcgRIIIA-158V,"2.006e+06
1.913e+06~2.107e+06","1.678e+05
1.433e+05~1.966e+05","9.941e+06
9.193e+06~1.073e+07","2.906e+05
2.509e+05~3.348e+05",
